ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Purchases,Average_Ticket,Total_Dependents,Accepted_Campaigns_Total,Campaign_Total_Contacts,Campaign_Total_Accepted,Value_Segment,Family_Segment,Income_Segment,Spending_Segment,Dependent_Composition,Marital_Status_Grouped,Dominant_Channel,Channel_Segment,Dominant_Category,Web_Purchase_Visit_Ratio,Tenure_Group,Is_Premium,Is_High_Income_Low_Spending,Is_Multichannel,Is_Web_Curious,Is_Discount_Sensitive,Is_Loyal,Is_Early_High_Value,Is_Cold,Strategic_Tags,Primary_Strategic_Segment,PCA_PC1,PCA_PC2
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,57,663,1617,22,73.5,0,0,2240,334,Alto valor,Sin dependientes,Ingreso medio,Gasto alto,Sin dependientes,Sin pareja reportada,Catálogo,Multicanal,Vinos,1.1428571428571428,Leal,True,False,True,False,True,True,False,False,Premium | Leal | Sensible a descuentos | Multicanal,Premium,-0.860967132207532,-2.1612908906455472
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,60,113,27,4,6.75,2,0,2240,334,Resto,Con dependientes sin pareja reportada,Ingreso medio,Gasto bajo,Niños y adolescentes,Sin pareja reportada,Tienda,Multicanal,Vinos,0.2,Nuevo,False,False,True,False,False,False,False,False,Multicanal,Multicanal,0.33800426998732824,1.4598157722020826
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,49,312,776,20,38.8,0,0,2240,334,Resto,Sin dependientes,Ingreso alto,Gasto medio-alto,Sin dependientes,En pareja,Tienda,Multicanal,Vinos,2.0,Reciente,False,False,True,False,False,False,False,False,Multicanal,Multicanal,-1.0994854269546623,0.3053291896703301
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,30,139,53,6,8.833333333333334,1,0,2240,334,Resto,Con dependientes en pareja,Ingreso bajo,Gasto bajo,Con niños,En pareja,Tienda,Multicanal,Carnes,0.3333333333333333,Nuevo,False,False,True,False,False,False,False,False,Multicanal,Multicanal,1.61992417328364,1.3202054777738361
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,33,161,422,14,30.142857142857142,1,0,2240,334,Resto,Con dependientes en pareja,Ingreso medio,Gasto medio-alto,Con niños,En pareja,Tienda,Multicanal,Vinos,1.0,Nuevo,False,False,True,False,True,False,False,True,Inactivo o frío | Sensible a descuentos | Multicanal,Inactivo o frío,0.017024752806605856,0.7412566009210745
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,47,293,716,20,35.8,1,0,2240,334,Resto,Con dependientes en pareja,Ingreso medio,Gasto medio-alto,Con adolescentes,En pareja,Tienda,Multicanal,Vinos,1.0,Reciente,False,False,True,False,False,False,False,False,Multicanal,Multicanal,-0.28350974413679353,0.22235632793783489
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,43,593,590,17,34.705882352941174,1,0,2240,334,Resto,Con dependientes sin pareja reportada,Ingreso medio,Gasto medio-alto,Con adolescentes,Sin pareja reportada,Empate,Multicanal,Vinos,1.1666666666666667,Leal,False,False,True,False,True,True,False,False,Leal | Sensible a descuentos | Multicanal,Leal,0.17536492996747735,-1.0885155819228165
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,29,417,169,8,21.125,1,0,2240,334,Resto,Con dependientes en pareja,Ingreso bajo,Gasto medio-bajo,Con niños,En pareja,Empate,Multicanal,Vinos,0.5,Estable,False,False,True,False,False,False,False,False,Multicanal,Multicanal,1.8584570613468534,-0.29072549666915665
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,40,388,46,5,9.2,1,0,2240,334,Resto,Con dependientes en pareja,Ingreso bajo,Gasto bajo,Con niños,En pareja,Web,Multicanal,Carnes,0.3333333333333333,Estable,False,False,True,False,False,False,False,False,Multicanal,Multicanal,2.11970892523825,-0.16649731498102813
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,64,108,49,1,49.0,2,1,2240,334,Resto,Con dependientes en pareja,Ingreso bajo,Gasto bajo,Niños y adolescentes,En pareja,Web,Monocanal,Vinos,0.05,Nuevo,False,False,False,True,False,False,False,False,Web curioso,Web curioso,2.282844965911693,0.9320324022654386
